Transaction_ID,Customer_ID,Merchant_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Payment_Channel,Device_Type,Risk_Score,Fraud_Type,Is_Fraud
TXN000039,CUST1126,MER023,2025-08-12,16:15:56,RTGS,58035,Credit Card,Mobile,19,None,No
TXN000040,CUST0927,MER021,2025-08-09,02:39:04,ATM Withdrawal,496,Net Banking,Mobile,42,None,No
TXN000041,CUST1250,MER016,2025-05-15,00:59:05,NEFT,47986,Credit Card,Laptop,32,None,No
TXN000042,CUST1685,MER001,2025-08-30,03:26:47,UPI,13380,Credit Card,Tablet,44,None,No
TXN000043,CUST1930,MER021,2025-12-09,07:55:51,Credit Card,10270,Credit Card,Mobile,11,None,No
TXN000044,CUST1064,MER017,2025-02-20,09:00:36,UPI,8082,Net Banking,Laptop,18,None,No
TXN000045,CUST1065,MER019,2025-06-24,09:48:59,Net Banking,8063,Credit Card,Mobile,12,None,No
TXN000046,CUST0835,MER031,2025-06-05,00:44:55,NEFT,2146,UPI,Mobile,26,None,No
TXN000047,CUST1222,MER021,2025-08-28,22:45:18,ATM Withdrawal,943,UPI,Tablet,11,None,No
TXN000048,CUST1043,MER027,2025-09-24,05:39:45,UPI,19614,Net Banking,Laptop,20,None,No
TXN000049,CUST0376,MER023,2025-11-29,04:52:50,Credit Card,57348,Net Banking,Tablet,38,None,No
TXN000050,CUST0549,MER011,2025-10-30,22:11:16,IMPS,13914,Credit Card,Laptop,17,None,No
TXN000051,CUST1171,MER013,2025-02-04,01:19:23,Debit Card,957,Net Banking,Mobile,27,None,No
TXN000052,CUST1728,MER033,2025-02-09,01:53:25,UPI,8927,UPI,Laptop,44,None,No
TXN000053,CUST0432,MER004,2025-08-03,18:19:55,NEFT,793,Debit Card,Mobile,17,None,No
TXN000054,CUST1459,MER004,2025-06-18,20:38:31,RTGS,26763,Credit Card,Mobile,11,None,No
TXN000055,CUST0345,MER013,2025-03-29,19:33:16,IMPS,24273,Credit Card,Mobile,25,None,No
TXN000056,CUST1624,MER009,2025-08-18,05:13:01,UPI,72034,Debit Card,Tablet,13,None,No
TXN000057,CUST0760,MER024,2025-09-16,10:09:53,IMPS,6894,Net Banking,Mobile,15,None,No
TXN000058,CUST1754,MER023,2025-03-03,03:10:26,RTGS,28817,Credit Card,Laptop,43,None,No
TXN000059,CUST0388,MER018,2025-09-05,12:00:18,Credit Card,1476,UPI,Laptop,20,None,No
TXN000060,CUST1529,MER001,2025-10-31,23:35:07,IMPS,4035,Debit Card,Tablet,8,None,No
TXN000061,CUST1733,MER022,2025-04-27,14:17:36,Debit Card,14295,Credit Card,Laptop,13,None,No
TXN000062,CUST0879,MER001,2025-02-11,02:44:03,Debit Card,47889,Credit Card,Mobile,40,None,No
TXN000063,CUST0608,MER019,2025-04-08,23:14:45,NEFT,4064,UPI,Tablet,24,None,No
TXN000064,CUST1546,MER009,2025-01-19,18:37:13,Debit Card,6589,Net Banking,Laptop,17,None,No
TXN000065,CUST0524,MER026,2025-05-12,15:00:42,RTGS,61192,Net Banking,Laptop,7,None,No
TXN000066,CUST0501,MER024,2025-01-06,07:28:48,UPI,883,Credit Card,Laptop,17,None,No
TXN000067,CUST1690,MER011,2025-12-27,12:39:02,ATM Withdrawal,7023,Debit Card,Mobile,23,None,No
TXN000068,CUST1489,MER007,2025-11-04,11:05:46,RTGS,1465,Credit Card,Mobile,25,None,No
TXN000069,CUST1466,MER030,2025-02-26,22:45:23,RTGS,1555,Net Banking,Tablet,8,None,No
TXN000070,CUST1115,MER002,2025-05-02,16:13:43,UPI,3529,Net Banking,Tablet,21,None,No
TXN000071,CUST0725,MER007,2025-09-05,07:31:57,ATM Withdrawal,4509,Debit Card,Tablet,10,None,No
TXN000072,CUST1643,MER020,2025-06-19,10:09:28,Debit Card,11868,Net Banking,Tablet,11,None,No
TXN000073,CUST1685,MER021,2025-03-04,04:46:28,RTGS,2201,Credit Card,Tablet,25,None,No
TXN000074,CUST0012,MER006,2025-08-07,18:08:30,UPI,371,Credit Card,Tablet,10,None,No
TXN000075,CUST0316,MER018,2025-06-29,02:12:06,IMPS,714,Credit Card,Laptop,29,None,No
TXN000076,CUST0459,MER029,2025-04-02,15:24:47,Credit Card,17457,UPI,Laptop,19,None,No
TXN000077,CUST0491,MER020,2025-10-24,05:32:20,IMPS,1128,Net Banking,Mobile,19,None,No
TXN000078,CUST0539,MER022,2025-04-16,19:16:23,RTGS,77714,Debit Card,Tablet,12,None,No
TXN000079,CUST1723,MER011,2025-10-08,15:16:59,ATM Withdrawal,1256,UPI,Mobile,11,None,No
TXN000080,CUST1780,MER025,2025-01-23,05:17:07,RTGS,20730,Net Banking,Mobile,20,None,No
TXN000081,CUST1382,MER015,2025-02-15,14:39:40,Credit Card,13360,UPI,Mobile,21,None,No
TXN000082,CUST0585,MER030,2025-02-27,06:09:38,Net Banking,7123,Credit Card,Tablet,25,None,No
TXN000083,CUST0301,MER024,2025-03-17,20:10:08,Net Banking,1580,UPI,Laptop,24,None,No
TXN000084,CUST0790,MER010,2025-08-07,20:10:26,Net Banking,59675,Net Banking,Mobile,17,None,No
TXN000085,CUST0492,MER033,2025-05-19,21:22:01,NEFT,64384,Net Banking,Laptop,7,None,No
TXN000086,CUST1119,MER009,2025-12-01,14:36:32,IMPS,5333,Credit Card,Laptop,21,None,No
TXN000087,CUST1312,MER002,2025-12-30,11:03:02,UPI,25954,Debit Card,Mobile,23,None,No
TXN000088,CUST1710,MER033,2025-05-11,17:14:18,ATM Withdrawal,12299,UPI,Laptop,16,None,No
TXN000089,CUST0743,MER010,2025-11-04,06:54:16,ATM Withdrawal,118,Credit Card,Tablet,18,None,No
TXN000090,CUST0888,MER022,2025-07-30,21:18:34,Net Banking,615,Net Banking,Laptop,9,None,No
TXN000091,CUST0187,MER002,2025-05-12,11:39:43,Debit Card,12900,Net Banking,Mobile,24,None,No
TXN000092,CUST1467,MER019,2025-12-09,04:32:08,Debit Card,11030,Debit Card,Mobile,41,None,No
TXN000093,CUST1836,MER009,2025-05-26,17:52:58,ATM Withdrawal,705,Credit Card,Laptop,25,None,No
TXN000094,CUST1061,MER025,2025-03-17,11:57:45,ATM Withdrawal,23158,UPI,Tablet,25,None,No
TXN000095,CUST0786,MER013,2025-05-31,23:08:52,Credit Card,11218,UPI,Laptop,20,None,No
TXN000096,CUST0361,MER031,2025-05-08,00:16:16,IMPS,2911,Debit Card,Mobile,27,None,No
TXN000097,CUST1797,MER019,2025-12-22,18:58:38,Net Banking,1002,Credit Card,Laptop,16,None,No
TXN000098,CUST1232,MER022,2025-04-21,06:09:47,IMPS,83437,Net Banking,Tablet,40,None,No
TXN000099,CUST1816,MER028,2025-07-17,00:19:53,UPI,47458,Net Banking,Tablet,37,None,No
TXN000100,CUST1715,MER031,2025-08-29,20:29:48,ATM Withdrawal,692,Debit Card,Mobile,9,None,No
TXN000101,CUST1541,MER005,2025-03-29,00:42:59,RTGS,85617,Debit Card,Tablet,72,SIM Swap,Yes
TXN000102,CUST1223,MER004,2025-12-11,15:25:37,IMPS,1758,UPI,Mobile,13,None,No
TXN000103,CUST1180,MER014,2025-08-22,09:01:32,Debit Card,63423,Net Banking,Mobile,6,None,No
TXN000104,CUST1732,MER017,2025-02-20,16:12:54,UPI,6087,UPI,Mobile,17,None,No
TXN000105,CUST0302,MER034,2025-09-19,22:08:22,RTGS,15765,Debit Card,Tablet,24,None,No
TXN000106,CUST0728,MER021,2025-08-28,12:20:29,Net Banking,5296,Credit Card,Tablet,24,None,No
TXN000107,CUST1879,MER002,2025-07-17,19:52:14,ATM Withdrawal,84221,Debit Card,Tablet,51,None,No
TXN000108,CUST0544,MER024,2025-06-26,12:25:56,Debit Card,35031,Credit Card,Laptop,16,None,No
TXN000109,CUST0669,MER009,2025-10-16,17:08:06,Credit Card,40248,UPI,Tablet,22,None,No
TXN000110,CUST0835,MER031,2025-01-06,12:23:39,IMPS,2920,UPI,Mobile,24,None,No
TXN000111,CUST1904,MER026,2025-02-11,13:22:46,ATM Withdrawal,3989,Debit Card,Tablet,14,None,No
TXN000112,CUST1744,MER004,2025-12-22,11:30:13,Net Banking,1673,Credit Card,Laptop,6,None,No
TXN000113,CUST0051,MER007,2025-12-06,23:03:51,IMPS,2759,Credit Card,Tablet,11,None,No
TXN000114,CUST1287,MER007,2025-10-18,20:40:17,Credit Card,23370,Credit Card,Laptop,5,None,No
TXN000115,CUST1205,MER009,2025-03-29,01:20:58,IMPS,19167,Net Banking,Tablet,39,None,No
TXN000116,CUST1140,MER006,2025-07-16,17:47:39,NEFT,13737,Net Banking,Mobile,25,None,No
TXN000117,CUST1072,MER005,2025-02-23,09:41:41,NEFT,29217,Credit Card,Mobile,20,None,No
TXN000118,CUST1865,MER005,2025-09-17,18:01:54,IMPS,2120,Debit Card,Laptop,24,None,No
TXN000119,CUST1499,MER013,2025-01-16,21:41:55,RTGS,5908,UPI,Tablet,11,None,No
TXN000120,CUST0328,MER016,2025-08-16,10:39:44,IMPS,27679,Debit Card,Laptop,8,None,No
TXN000121,CUST0295,MER021,2025-11-21,04:14:18,IMPS,770,Credit Card,Laptop,40,None,No
TXN000122,CUST0384,MER005,2025-10-21,14:38:51,UPI,66464,Debit Card,Tablet,8,None,No
TXN000123,CUST1380,MER004,2025-05-05,00:12:29,UPI,1505,UPI,Laptop,37,None,No
TXN000124,CUST0949,MER030,2025-10-22,21:17:50,Credit Card,1764,Credit Card,Laptop,24,None,No
TXN000125,CUST0833,MER004,2025-07-07,04:57:07,IMPS,13012,Debit Card,Laptop,34,None,No
TXN000126,CUST0493,MER003,2025-08-18,21:39:52,NEFT,12529,UPI,Mobile,13,None,No
TXN000127,CUST0190,MER014,2025-11-17,19:54:57,IMPS,12905,UPI,Laptop,25,None,No
TXN000128,CUST0803,MER018,2025-12-18,10:52:47,Net Banking,3206,Credit Card,Tablet,6,None,No
TXN000129,CUST0881,MER005,2025-08-08,04:23:50,IMPS,32500,Credit Card,Laptop,34,None,No
TXN000130,CUST1282,MER014,2025-09-11,12:38:15,Debit Card,80531,Net Banking,Mobile,60,Identity Theft,Yes
TXN000131,CUST0995,MER017,2025-12-20,23:11:17,Net Banking,2944,Debit Card,Tablet,11,None,No
TXN000132,CUST1598,MER029,2025-09-09,13:30:48,NEFT,2902,Net Banking,Laptop,9,None,No
TXN000133,CUST0997,MER029,2025-03-30,15:57:29,RTGS,7519,UPI,Tablet,10,None,No
TXN000134,CUST1835,MER007,2025-10-19,04:08:57,UPI,10420,Credit Card,Laptop,33,None,No
TXN000135,CUST0695,MER013,2025-02-28,01:27:25,Credit Card,96717,Debit Card,Tablet,73,Account Takeover,Yes
TXN000136,CUST1263,MER026,2025-06-02,04:35:31,ATM Withdrawal,14392,Net Banking,Mobile,30,None,No
TXN000137,CUST1875,MER032,2025-10-30,02:54:36,ATM Withdrawal,1174,Debit Card,Laptop,38,None,No
TXN000138,CUST0726,MER024,2025-10-25,05:31:14,Net Banking,40084,Net Banking,Mobile,25,None,No
TXN000139,CUST1945,MER023,2025-09-23,01:48:04,UPI,5425,Credit Card,Mobile,44,None,No
TXN000140,CUST0758,MER030,2025-10-14,16:08:19,Credit Card,6426,Debit Card,Laptop,12,None,No
TXN000141,CUST1588,MER008,2025-07-28,08:15:29,RTGS,9799,Credit Card,Tablet,25,None,No
TXN000142,CUST1487,MER018,2025-01-24,18:06:52,Debit Card,94092,UPI,Laptop,55,None,No
TXN000143,CUST0231,MER009,2025-03-11,18:30:45,Net Banking,7002,UPI,Mobile,16,None,No
TXN000144,CUST0730,MER002,2025-05-16,11:55:58,Credit Card,25980,Credit Card,Tablet,19,None,No
TXN000145,CUST0979,MER018,2025-11-17,00:32:41,RTGS,1014,UPI,Mobile,43,None,No
TXN000146,CUST0011,MER003,2025-07-30,20:42:07,Credit Card,5904,Debit Card,Laptop,15,None,No
TXN000147,CUST1884,MER009,2025-10-25,00:52:54,NEFT,38765,Debit Card,Mobile,29,None,No
TXN000148,CUST1762,MER012,2025-01-20,08:34:47,Credit Card,829,Credit Card,Tablet,16,None,No
TXN000149,CUST1813,MER016,2025-03-04,10:11:59,Net Banking,2313,Credit Card,Laptop,21,None,No
TXN000150,CUST0653,MER020,2025-07-22,16:33:13,NEFT,28972,Credit Card,Mobile,21,None,No
TXN000151,CUST1515,MER011,2025-06-01,07:28:09,RTGS,2537,Credit Card,Mobile,11,None,No
TXN000152,CUST0443,MER009,2025-10-29,08:09:11,ATM Withdrawal,5113,Net Banking,Laptop,20,None,No
TXN000153,CUST1704,MER033,2025-05-05,17:11:23,ATM Withdrawal,908,UPI,Tablet,18,None,No
TXN000154,CUST1229,MER006,2025-07-09,20:25:00,IMPS,574,UPI,Mobile,25,None,No
TXN000155,CUST0676,MER003,2025-12-01,19:04:00,RTGS,5392,UPI,Laptop,6,None,No
TXN000156,CUST0171,MER005,2025-08-21,15:59:54,Net Banking,2828,Debit Card,Mobile,18,None,No
TXN000157,CUST0670,MER018,2025-04-25,22:51:25,IMPS,1229,UPI,Tablet,16,None,No
TXN000158,CUST0303,MER031,2025-11-07,17:28:49,RTGS,35921,Debit Card,Laptop,17,None,No
TXN000159,CUST0133,MER024,2025-06-01,23:11:14,NEFT,16262,Net Banking,Laptop,17,None,No
TXN000160,CUST0829,MER013,2025-06-02,02:31:48,RTGS,2676,Debit Card,Mobile,35,None,No
TXN000161,CUST0426,MER028,2025-05-23,02:20:51,Debit Card,3811,Debit Card,Mobile,39,None,No
TXN000162,CUST0613,MER017,2025-05-24,11:03:56,Credit Card,1147,Net Banking,Laptop,13,None,No
TXN000163,CUST1038,MER030,2025-02-11,18:36:46,Net Banking,3716,Debit Card,Laptop,6,None,No
TXN000164,CUST1392,MER027,2025-05-25,22:50:31,UPI,7025,Net Banking,Mobile,21,None,No
TXN000165,CUST1599,MER024,2025-01-28,08:21:09,ATM Withdrawal,1775,UPI,Tablet,8,None,No
TXN000166,CUST0330,MER022,2025-01-03,08:53:51,Credit Card,17455,Net Banking,Mobile,9,None,No
TXN000167,CUST1150,MER032,2025-11-17,20:41:58,RTGS,1317,Debit Card,Tablet,6,None,No
TXN000168,CUST0177,MER014,2025-07-14,06:59:42,Net Banking,37270,Debit Card,Tablet,21,None,No
TXN000169,CUST1822,MER013,2025-03-15,07:57:10,Credit Card,80150,Debit Card,Tablet,55,None,No
TXN000170,CUST1554,MER034,2025-08-25,05:37:34,Credit Card,3263,Credit Card,Tablet,14,None,No
TXN000171,CUST0133,MER030,2025-07-31,12:29:37,ATM Withdrawal,18457,Net Banking,Laptop,7,None,No
TXN000172,CUST1523,MER011,2025-06-12,02:58:17,Net Banking,2802,Net Banking,Mobile,42,None,No
TXN000173,CUST0233,MER033,2025-12-24,22:04:07,Credit Card,861,Credit Card,Mobile,14,None,No
TXN000174,CUST1105,MER008,2025-12-29,19:54:36,Net Banking,7664,Debit Card,Tablet,19,None,No
TXN000175,CUST1590,MER014,2025-12-27,16:45:58,ATM Withdrawal,9320,Credit Card,Laptop,16,None,No
TXN000176,CUST1197,MER022,2025-04-27,15:33:38,ATM Withdrawal,2018,Credit Card,Tablet,18,None,No
TXN000177,CUST1470,MER028,2025-08-26,03:58:27,Net Banking,7814,Credit Card,Laptop,42,None,No
TXN000178,CUST1631,MER011,2025-03-31,11:59:49,IMPS,18557,Credit Card,Tablet,22,None,No
TXN000179,CUST1060,MER014,2025-04-01,07:00:49,Net Banking,23583,Credit Card,Tablet,24,None,No
TXN000180,CUST0496,MER020,2025-10-10,23:15:44,NEFT,19672,UPI,Laptop,16,None,No
TXN000181,CUST0382,MER012,2025-05-02,14:36:36,NEFT,22884,Credit Card,Tablet,14,None,No
TXN000182,CUST1552,MER034,2025-05-12,06:17:20,NEFT,568,Credit Card,Tablet,23,None,No
TXN000183,CUST0825,MER032,2025-03-29,11:11:31,ATM Withdrawal,1277,Net Banking,Tablet,14,None,No
TXN000184,CUST0570,MER020,2025-01-10,09:17:51,Credit Card,8929,Credit Card,Laptop,19,None,No
TXN000185,CUST0523,MER005,2025-06-16,03:16:10,ATM Withdrawal,5077,UPI,Tablet,26,None,No
TXN000186,CUST0457,MER026,2025-03-15,11:51:22,IMPS,2521,Net Banking,Laptop,6,None,No
TXN000187,CUST1393,MER011,2025-03-28,01:21:05,UPI,18567,Net Banking,Tablet,43,None,No
TXN000188,CUST1583,MER021,2025-12-04,15:24:31,ATM Withdrawal,5915,Debit Card,Tablet,17,None,No
TXN000189,CUST0872,MER006,2025-10-09,20:23:36,Net Banking,2187,UPI,Tablet,25,None,No
TXN000190,CUST1810,MER032,2025-01-19,04:47:15,IMPS,12226,Debit Card,Tablet,30,None,No
TXN000191,CUST1986,MER001,2025-06-21,11:46:32,Debit Card,9265,Net Banking,Laptop,19,None,No
TXN000192,CUST1305,MER011,2025-10-21,11:15:47,ATM Withdrawal,4060,Debit Card,Mobile,10,None,No
TXN000193,CUST0572,MER010,2025-06-03,18:47:06,RTGS,94520,Net Banking,Laptop,55,None,No
TXN000194,CUST0893,MER029,2025-04-25,14:22:30,Debit Card,9443,Debit Card,Laptop,13,None,No
TXN000195,CUST1170,MER026,2025-12-30,17:59:44,Credit Card,844,Net Banking,Laptop,12,None,No
TXN000196,CUST0254,MER010,2025-12-25,09:05:42,Credit Card,38161,Debit Card,Mobile,16,None,No
TXN000197,CUST0052,MER028,2025-02-10,11:52:08,RTGS,20878,UPI,Tablet,12,None,No
TXN000198,CUST0939,MER019,2025-12-29,09:48:43,Debit Card,664,Net Banking,Mobile,13,None,No
TXN000199,CUST0347,MER005,2025-11-13,10:01:19,RTGS,16039,Credit Card,Tablet,8,None,No
TXN000200,CUST0188,MER021,2025-03-01,02:21:33,NEFT,11650,Credit Card,Laptop,36,None,No
TXN000201,CUST0267,MER018,2025-10-25,06:32:06,IMPS,9722,Net Banking,Mobile,25,None,No
TXN000202,CUST0099,MER031,2025-09-26,07:08:20,Net Banking,6005,Debit Card,Laptop,10,None,No
TXN000203,CUST1808,MER029,2025-04-13,18:51:17,IMPS,32585,Net Banking,Tablet,13,None,No
TXN000204,CUST1520,MER014,2025-03-13,12:12:58,NEFT,20375,Net Banking,Tablet,16,None,No
TXN000205,CUST0161,MER018,2025-02-18,01:17:11,RTGS,78745,Credit Card,Tablet,42,None,No
TXN000206,CUST1592,MER024,2025-09-09,16:54:57,RTGS,1727,Credit Card,Laptop,22,None,No
TXN000207,CUST0177,MER008,2025-05-12,22:31:33,RTGS,80289,Debit Card,Tablet,48,None,No
TXN000208,CUST0820,MER003,2025-10-18,19:35:56,Credit Card,329,Debit Card,Tablet,24,None,No
TXN000209,CUST0524,MER004,2025-11-02,17:04:42,ATM Withdrawal,56462,Net Banking,Laptop,15,None,No
TXN000210,CUST1668,MER022,2025-10-22,14:59:29,Net Banking,2549,Credit Card,Laptop,21,None,No
TXN000211,CUST0715,MER023,2025-10-01,17:06:07,IMPS,31532,UPI,Mobile,12,None,No
TXN000212,CUST0840,MER026,2025-12-20,04:11:21,UPI,2143,Net Banking,Tablet,31,None,No
TXN000213,CUST1433,MER028,2025-11-05,19:56:41,ATM Withdrawal,11309,Net Banking,Mobile,6,None,No
TXN000214,CUST1366,MER001,2025-10-15,02:12:55,Credit Card,1140,UPI,Mobile,42,None,No
TXN000215,CUST0842,MER019,2025-06-02,14:30:48,RTGS,28813,Debit Card,Tablet,22,None,No
TXN000216,CUST0225,MER030,2025-05-18,16:01:45,RTGS,9052,Net Banking,Laptop,18,None,No
TXN000217,CUST1072,MER008,2025-03-07,02:38:31,RTGS,16898,Credit Card,Mobile,45,None,No
TXN000218,CUST0758,MER002,2025-02-17,10:43:01,UPI,4860,Debit Card,Laptop,11,None,No
TXN000219,CUST1530,MER002,2025-01-31,03:11:36,Credit Card,98166,Net Banking,Mobile,78,Identity Theft,Yes
TXN000220,CUST0961,MER023,2025-02-03,01:10:33,RTGS,1676,Credit Card,Mobile,27,None,No
TXN000221,CUST1975,MER034,2025-04-28,20:47:33,Credit Card,41433,Credit Card,Mobile,7,None,No
TXN000222,CUST0458,MER022,2025-04-05,04:24:17,ATM Withdrawal,24886,Credit Card,Tablet,38,None,No
TXN000223,CUST0348,MER008,2025-10-31,12:22:15,Credit Card,52349,Debit Card,Mobile,7,None,No
TXN000224,CUST1396,MER024,2025-02-27,13:25:25,ATM Withdrawal,6449,Debit Card,Mobile,21,None,No
TXN000225,CUST1997,MER012,2025-01-04,09:56:02,Debit Card,17848,Credit Card,Laptop,25,None,No
TXN000226,CUST0445,MER006,2025-10-06,09:27:32,NEFT,1385,UPI,Tablet,25,None,No
TXN000227,CUST0734,MER034,2025-08-11,19:07:01,RTGS,303,UPI,Laptop,21,None,No
TXN000228,CUST1918,MER009,2025-10-06,05:58:20,UPI,666,Credit Card,Tablet,15,None,No
TXN000229,CUST0338,MER021,2025-01-17,04:01:59,IMPS,15563,Net Banking,Mobile,35,None,No
TXN000230,CUST1933,MER033,2025-07-17,02:00:46,Credit Card,1531,Net Banking,Mobile,40,None,No
TXN000231,CUST0540,MER034,2025-07-20,19:17:07,Debit Card,1593,UPI,Tablet,18,None,No
TXN000232,CUST1981,MER023,2025-03-05,16:04:27,ATM Withdrawal,1378,Credit Card,Mobile,24,None,No
TXN000233,CUST1605,MER012,2025-01-25,15:42:45,UPI,54892,UPI,Laptop,5,None,No
TXN000234,CUST1939,MER016,2025-02-26,19:18:03,UPI,4707,UPI,Mobile,5,None,No
TXN000235,CUST0229,MER017,2025-08-01,05:43:00,Net Banking,869,Credit Card,Mobile,5,None,No
TXN000236,CUST1389,MER013,2025-06-06,00:22:52,UPI,26821,Net Banking,Mobile,37,None,No
TXN000237,CUST1866,MER023,2025-11-19,18:52:18,IMPS,3840,Credit Card,Mobile,18,None,No
TXN000238,CUST0300,MER009,2025-01-04,19:14:00,RTGS,742,UPI,Tablet,20,None,No
TXN000239,CUST1944,MER013,2025-03-13,13:19:56,UPI,13823,Credit Card,Mobile,16,None,No
TXN000240,CUST1718,MER027,2025-06-11,04:40:10,Debit Card,5051,UPI,Laptop,43,None,No
TXN000241,CUST1908,MER011,2025-04-23,17:59:24,UPI,22115,Net Banking,Tablet,17,None,No
TXN000242,CUST1860,MER007,2025-04-08,01:03:46,NEFT,2607,Credit Card,Laptop,30,None,No
TXN000243,CUST0686,MER011,2025-03-01,05:03:28,UPI,1987,Debit Card,Mobile,23,None,No
TXN000244,CUST1369,MER024,2025-03-28,12:16:17,RTGS,142,Debit Card,Tablet,12,None,No
TXN000245,CUST0848,MER024,2025-08-11,08:09:03,UPI,21904,Net Banking,Laptop,7,None,No
TXN000246,CUST0956,MER033,2025-08-10,04:25:31,IMPS,57428,Debit Card,Tablet,37,None,No
TXN000247,CUST1261,MER005,2025-05-13,06:53:42,Credit Card,41298,Net Banking,Tablet,5,None,No
TXN000248,CUST1790,MER026,2025-11-19,19:01:40,Net Banking,2259,Debit Card,Tablet,20,None,No
TXN000249,CUST0382,MER026,2025-05-19,16:54:26,NEFT,34636,Credit Card,Tablet,23,None,No
TXN000250,CUST0184,MER032,2025-10-28,15:29:23,NEFT,1162,Credit Card,Laptop,18,None,No
TXN000251,CUST0713,MER030,2025-01-25,17:16:48,Credit Card,7739,Debit Card,Tablet,6,None,No
TXN000252,CUST0174,MER034,2025-04-28,00:07:36,Net Banking,75134,Credit Card,Tablet,32,None,No
TXN000253,CUST1806,MER022,2025-06-20,01:00:31,Debit Card,27627,UPI,Mobile,41,None,No
